CourseCode,CourseTitle,Section,Instructor,Day,StartTime,EndTime,Classroom,Semester
COMP1000,Data Communications,A,John Lee,Mon,08:30,10:00,A101,2025F
MATH1001,Operating Systems,B,Alice Chan,Tue,10:00,11:30,A108,2025S
STAT1002,Database Systems,C,Mary Wong,Wed,11:30,13:00,A202,2026F
BUS1003,Software Engineering,D,David Smith,Thu,13:00,14:30,B201,2026S
ENG1004,Computer Networks,A,Kevin Brown,Fri,14:30,16:00,B202,2025F
PHYS1005,Calculus,B,Lisa Chen,Mon,16:00,17:30,B301,2025S
CHEM1006,Probability and Statistics,C,Peter Ho,Tue,18:00,20:00,C105,2026F
BIO1007,Business Analytics,D,Grace Lam,Wed,08:30,10:00,C301,2026S
ECON1008,Academic Writing,A,Helen Zhao,Thu,10:00,11:30,D210,2025F
ART1009,Digital Design,B,Michael Tan,Fri,11:30,13:00,D305,2025S
COMP1010,Cloud Computing,C,Sarah Liu,Mon,13:00,14:30,E110,2026F
MATH1011,Network Security,D,Daniel Wu,Tue,14:30,16:00,F402,2026S
STAT1012,Artificial Intelligence,A,Emma Chen,Wed,16:00,17:30,A101,2025F
BUS1013,Web Development,B,Robert Young,Thu,18:00,20:00,A108,2025S
ENG1014,Linear Algebra,C,Anna Wang,Fri,08:30,10:00,A202,2026F
PHYS1015,Discrete Mathematics,D,Victor Lam,Mon,10:00,11:30,B201,2026S
CHEM1016,Project Management,A,John Lee,Tue,11:30,13:00,B202,2025F
BIO1017,Information Systems,B,Alice Chan,Wed,13:00,14:30,B301,2025S
ECON1018,Cybersecurity Fundamentals,C,Mary Wong,Thu,14:30,16:00,C105,2026F
ART1019,Machine Learning,D,David Smith,Fri,16:00,17:30,C301,2026S
COMP1020,Data Communications,A,Kevin Brown,Mon,18:00,20:00,D210,2025F
MATH1021,Operating Systems,B,Lisa Chen,Tue,08:30,10:00,D305,2025S
STAT1022,Database Systems,C,Peter Ho,Wed,10:00,11:30,E110,2026F
BUS1023,Software Engineering,D,Grace Lam,Thu,11:30,13:00,F402,2026S
ENG1024,Computer Networks,A,Helen Zhao,Fri,13:00,14:30,A101,2025F
PHYS1025,Calculus,B,Michael Tan,Mon,14:30,16:00,A108,2025S
CHEM1026,Probability and Statistics,C,Sarah Liu,Tue,16:00,17:30,A202,2026F
BIO1027,Business Analytics,D,Daniel Wu,Wed,18:00,20:00,B201,2026S
ECON1028,Academic Writing,A,Emma Chen,Thu,08:30,10:00,B202,2025F
ART1029,Digital Design,B,Robert Young,Fri,10:00,11:30,B301,2025S
COMP1030,Cloud Computing,C,Anna Wang,Mon,11:30,13:00,C105,2026F
MATH1031,Network Security,D,Victor Lam,Tue,13:00,14:30,C301,2026S
STAT1032,Artificial Intelligence,A,John Lee,Wed,14:30,16:00,D210,2025F
BUS1033,Web Development,B,Alice Chan,Thu,16:00,17:30,D305,2025S
ENG1034,Linear Algebra,C,Mary Wong,Fri,18:00,20:00,E110,2026F
PHYS1035,Discrete Mathematics,D,David Smith,Mon,08:30,10:00,F402,2026S
CHEM1036,Project Management,A,Kevin Brown,Tue,10:00,11:30,A101,2025F
BIO1037,Information Systems,B,Lisa Chen,Wed,11:30,13:00,A108,2025S
ECON1038,Cybersecurity Fundamentals,C,Peter Ho,Thu,13:00,14:30,A202,2026F
ART1039,Machine Learning,D,Grace Lam,Fri,14:30,16:00,B201,2026S
COMP1040,Data Communications,A,Helen Zhao,Mon,16:00,17:30,B202,2025F
MATH1041,Operating Systems,B,Michael Tan,Tue,18:00,20:00,B301,2025S
STAT1042,Database Systems,C,Sarah Liu,Wed,08:30,10:00,C105,2026F
BUS1043,Software Engineering,D,Daniel Wu,Thu,10:00,11:30,C301,2026S
ENG1044,Computer Networks,A,Emma Chen,Fri,11:30,13:00,D210,2025F
PHYS1045,Calculus,B,Robert Young,Mon,13:00,14:30,D305,2025S
CHEM1046,Probability and Statistics,C,Anna Wang,Tue,14:30,16:00,E110,2026F
BIO1047,Business Analytics,D,Victor Lam,Wed,16:00,17:30,F402,2026S
ECON1048,Academic Writing,A,John Lee,Thu,18:00,20:00,A101,2025F
ART1049,Digital Design,B,Alice Chan,Fri,08:30,10:00,A108,2025S
COMP1050,Cloud Computing,C,Mary Wong,Mon,10:00,11:30,A202,2026F
MATH1051,Network Security,D,David Smith,Tue,11:30,13:00,B201,2026S
STAT1052,Artificial Intelligence,A,Kevin Brown,Wed,13:00,14:30,B202,2025F
BUS1053,Web Development,B,Lisa Chen,Thu,14:30,16:00,B301,2025S
ENG1054,Linear Algebra,C,Peter Ho,Fri,16:00,17:30,C105,2026F
PHYS1055,Discrete Mathematics,D,Grace Lam,Mon,18:00,20:00,C301,2026S
CHEM1056,Project Management,A,Helen Zhao,Tue,08:30,10:00,D210,2025F
BIO1057,Information Systems,B,Michael Tan,Wed,10:00,11:30,D305,2025S
ECON1058,Cybersecurity Fundamentals,C,Sarah Liu,Thu,11:30,13:00,E110,2026F
ART1059,Machine Learning,D,Daniel Wu,Fri,13:00,14:30,F402,2026S
COMP1060,Data Communications,A,Emma Chen,Mon,14:30,16:00,A101,2025F
MATH1061,Operating Systems,B,Robert Young,Tue,16:00,17:30,A108,2025S
STAT1062,Database Systems,C,Anna Wang,Wed,18:00,20:00,A202,2026F
BUS1063,Software Engineering,D,Victor Lam,Thu,08:30,10:00,B201,2026S
ENG1064,Computer Networks,A,John Lee,Fri,10:00,11:30,B202,2025F
PHYS1065,Calculus,B,Alice Chan,Mon,11:30,13:00,B301,2025S
CHEM1066,Probability and Statistics,C,Mary Wong,Tue,13:00,14:30,C105,2026F
BIO1067,Business Analytics,D,David Smith,Wed,14:30,16:00,C301,2026S
ECON1068,Academic Writing,A,Kevin Brown,Thu,16:00,17:30,D210,2025F
ART1069,Digital Design,B,Lisa Chen,Fri,18:00,20:00,D305,2025S
COMP1070,Cloud Computing,C,Peter Ho,Mon,08:30,10:00,E110,2026F
MATH1071,Network Security,D,Grace Lam,Tue,10:00,11:30,F402,2026S
STAT1072,Artificial Intelligence,A,Helen Zhao,Wed,11:30,13:00,A101,2025F
BUS1073,Web Development,B,Michael Tan,Thu,13:00,14:30,A108,2025S
ENG1074,Linear Algebra,C,Sarah Liu,Fri,14:30,16:00,A202,2026F
PHYS1075,Discrete Mathematics,D,Daniel Wu,Mon,16:00,17:30,B201,2026S
CHEM1076,Project Management,A,Emma Chen,Tue,18:00,20:00,B202,2025F
BIO1077,Information Systems,B,Robert Young,Wed,08:30,10:00,B301,2025S
ECON1078,Cybersecurity Fundamentals,C,Anna Wang,Thu,10:00,11:30,C105,2026F
ART1079,Machine Learning,D,Victor Lam,Fri,11:30,13:00,C301,2026S
COMP1080,Data Communications,A,John Lee,Mon,13:00,14:30,D210,2025F
MATH1081,Operating Systems,B,Alice Chan,Tue,14:30,16:00,D305,2025S
STAT1082,Database Systems,C,Mary Wong,Wed,16:00,17:30,E110,2026F
BUS1083,Software Engineering,D,David Smith,Thu,18:00,20:00,F402,2026S
ENG1084,Computer Networks,A,Kevin Brown,Fri,08:30,10:00,A101,2025F
PHYS1085,Calculus,B,Lisa Chen,Mon,10:00,11:30,A108,2025S
CHEM1086,Probability and Statistics,C,Peter Ho,Tue,11:30,13:00,A202,2026F
BIO1087,Business Analytics,D,Grace Lam,Wed,13:00,14:30,B201,2026S
ECON1088,Academic Writing,A,Helen Zhao,Thu,14:30,16:00,B202,2025F
ART1089,Digital Design,B,Michael Tan,Fri,16:00,17:30,B301,2025S
COMP1090,Cloud Computing,C,Sarah Liu,Mon,18:00,20:00,C105,2026F
MATH1091,Network Security,D,Daniel Wu,Tue,08:30,10:00,C301,2026S
STAT1092,Artificial Intelligence,A,Emma Chen,Wed,10:00,11:30,D210,2025F
BUS1093,Web Development,B,Robert Young,Thu,11:30,13:00,D305,2025S
ENG1094,Linear Algebra,C,Anna Wang,Fri,13:00,14:30,E110,2026F
